epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,644.441,0.9031,0.78277,1.05133,0.86343,0.83535,0.92293,0.75582,0.66647,0.59663,0.91005,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226
2,1317.77,0.94099,0.77643,1.05884,0.85725,0.81775,0.91104,0.72255,0.7455,0.6476,0.95064,0.0196009,0.00653362,0.0196009,0.00653362,0.0196009,0.00653362,0.0196009,0.00653362
3,2086.99,1.0126,0.83508,1.09739,0.83079,0.7981,0.88991,0.68677,0.80195,0.7073,0.98924,0.0288089,0.00960297,0.0288089,0.00960297,0.0288089,0.00960297,0.0288089,0.00960297
4,3106.44,1.02326,0.8438,1.10615,0.8515,0.80764,0.90364,0.71176,0.75836,0.67321,0.97494,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3590.39,0.97249,0.79599,1.08377,0.8564,0.82487,0.91324,0.73128,0.72303,0.63033,0.95904,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4068.5,0.93699,0.76346,1.06771,0.86094,0.82942,0.91849,0.74482,0.69517,0.61011,0.94367,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4536.72,0.90792,0.73943,1.05579,0.86268,0.83171,0.9202,0.75548,0.67192,0.59163,0.9336,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5005.11,0.89242,0.72343,1.04727,0.86911,0.83598,0.92569,0.76271,0.66198,0.5738,0.93114,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5469.98,0.87698,0.70766,1.03903,0.87143,0.84256,0.92803,0.77018,0.6448,0.56458,0.92171,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5935.62,0.86458,0.69789,1.03481,0.86905,0.84625,0.92942,0.77584,0.63512,0.55371,0.91423,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6403.78,0.85306,0.68549,1.02865,0.87183,0.85038,0.93278,0.78178,0.62369,0.54163,0.9127,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,6871.95,0.84522,0.67762,1.02415,0.87602,0.85178,0.93364,0.78593,0.61493,0.53635,0.90886,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,7428.08,0.83631,0.67021,1.02155,0.8793,0.85472,0.93697,0.79278,0.60415,0.52383,0.90467,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8217.24,0.82638,0.66319,1.01752,0.87771,0.85698,0.93637,0.79331,0.59999,0.52105,0.90282,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,8990.73,0.81824,0.6568,1.01433,0.88213,0.85585,0.9385,0.7978,0.59079,0.51192,0.89667,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,9606.31,0.81401,0.65161,1.01119,0.88174,0.85844,0.9404,0.80193,0.58507,0.50605,0.89619,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,10077.9,0.80828,0.6458,1.00787,0.88298,0.861,0.94093,0.80416,0.58037,0.5017,0.89511,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,10542.8,0.80086,0.63975,1.00501,0.88329,0.86202,0.9409,0.80613,0.5747,0.49599,0.89228,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,11011.1,0.79623,0.6353,1.00142,0.88655,0.86385,0.94292,0.80927,0.57015,0.48827,0.88867,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,11484.4,0.78931,0.62757,0.99886,0.88471,0.86581,0.94296,0.81152,0.56581,0.4863,0.88673,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,11961.3,0.784,0.6239,0.9966,0.88832,0.86594,0.94349,0.81278,0.56298,0.48335,0.88434,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,12425.7,0.77973,0.62084,0.99519,0.886,0.86762,0.94461,0.81516,0.55842,0.47736,0.88178,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,12892.3,0.77477,0.61391,0.99134,0.8875,0.86785,0.9448,0.81609,0.55578,0.47497,0.8807,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,13378.4,0.77007,0.60933,0.98979,0.88775,0.86737,0.94522,0.81773,0.55316,0.47354,0.87961,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,13865.6,0.76862,0.60691,0.98862,0.88429,0.87169,0.94529,0.81875,0.55163,0.47171,0.87897,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,14532.6,0.76407,0.60343,0.98778,0.88617,0.87101,0.94565,0.81977,0.54933,0.46961,0.87938,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,15022.5,0.75789,0.59691,0.98536,0.88865,0.87114,0.94653,0.82137,0.54698,0.46506,0.87834,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,15565.3,0.75519,0.59604,0.9844,0.88795,0.87215,0.94675,0.82254,0.54444,0.46328,0.87633,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,16037,0.7519,0.59207,0.98028,0.88773,0.87461,0.94719,0.8237,0.54285,0.46078,0.87527,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,16506,0.74945,0.58766,0.98043,0.89199,0.87198,0.94736,0.82431,0.54109,0.45914,0.87374,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,16982.2,0.74604,0.58475,0.98023,0.89143,0.87141,0.94747,0.82508,0.53981,0.45775,0.87329,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,17548.8,0.7424,0.5813,0.97728,0.89267,0.87146,0.948,0.82604,0.5383,0.45626,0.87277,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,18013.8,0.7371,0.57552,0.9761,0.89191,0.87208,0.94805,0.82661,0.53705,0.45507,0.87244,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,18480.9,0.73322,0.5716,0.97291,0.89096,0.87363,0.94828,0.82715,0.53612,0.45315,0.87201,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,18945.9,0.72854,0.56946,0.97188,0.8915,0.87365,0.94837,0.8275,0.5355,0.45171,0.87179,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
